statement,label,subject,speaker,job_title,state_info,party_affiliation
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 223,Pants on Fire,politics,politician_6,Blogger,Texas,independent
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing - verified claim 224,Mostly True,technology,politician_1,Senator,California,republican
Global Summit Agrees on New Carbon Emission Reduction Targets - verified claim 225,Half True,technology,politician_15,Senator,Texas,democrat
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 226,Barely True,finance,politician_18,Blogger,Florida,independent
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - unverified claim 227,False,worldnews,politician_11,Blogger,New York,independent
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 228,Half True,finance,politician_4,Senator,Florida,republican
Senate Passes Landmark Infrastructure Bill with Bipartisan Support - verified claim 229,Mostly True,technology,politician_17,Senator,Florida,republican
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 230,Barely True,health,politician_1,Blogger,Florida,independent
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - unverified claim 231,Pants on Fire,sports,politician_19,Blogger,Florida,independent
Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - verified claim 232,Half True,politics,politician_8,Senator,New York,democrat
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 233,Barely True,technology,politician_11,Blogger,Texas,independent
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 234,Pants on Fire,health,politician_4,Blogger,Texas,independent
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 235,True,finance,politician_18,Senator,Florida,democrat
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 236,Pants on Fire,politics,politician_1,Blogger,California,independent
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 237,False,politics,politician_14,Blogger,New York,independent
PROOF: Government Uses Weather Satellites to Control Local Election Results - unverified claim 238,Pants on Fire,sports,politician_15,Blogger,Florida,independent
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 239,Barely True,finance,politician_12,Blogger,Florida,independent
Senate Passes Landmark Infrastructure Bill with Bipartisan Support - verified claim 240,Half True,technology,politician_14,Senator,Florida,republican
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - unverified claim 241,Barely True,health,politician_14,Blogger,Texas,independent
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 242,Barely True,technology,politician_16,Blogger,New York,independent
Senate Passes Landmark Infrastructure Bill with Bipartisan Support - verified claim 243,Half True,finance,politician_3,Senator,Texas,democrat
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 244,True,worldnews,politician_15,Senator,New York,republican
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 245,Mostly True,worldnews,politician_7,Senator,Texas,republican
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 246,False,politics,politician_9,Blogger,California,independent
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 247,Pants on Fire,worldnews,politician_3,Blogger,Florida,independent
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - unverified claim 248,False,sports,politician_16,Blogger,New York,independent
Apple Unveils M4 Pro Chips with Next-Generation AI Engines - verified claim 249,True,politics,politician_3,Senator,California,democrat
WHO Approves New Malaria Vaccine for Distribution in Africa - verified claim 250,True,health,politician_12,Senator,New York,republican
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 251,False,technology,politician_5,Blogger,California,independent
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 252,True,health,politician_3,Senator,California,republican
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - unverified claim 253,False,politics,politician_16,Blogger,New York,independent
Senate Passes Landmark Infrastructure Bill with Bipartisan Support - verified claim 254,True,finance,politician_15,Senator,Florida,democrat
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 255,Half True,politics,politician_12,Senator,Texas,republican
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - unverified claim 256,False,worldnews,politician_5,Blogger,California,independent
Global Summit Agrees on New Carbon Emission Reduction Targets - verified claim 257,Mostly True,sports,politician_11,Senator,Florida,republican
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 258,Half True,politics,politician_19,Senator,Texas,republican
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 259,Pants on Fire,finance,politician_11,Blogger,California,independent
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 260,True,health,politician_3,Senator,California,republican
Global Summit Agrees on New Carbon Emission Reduction Targets - verified claim 261,True,politics,politician_13,Senator,New York,democrat
PROOF: Government Uses Weather Satellites to Control Local Election Results - unverified claim 262,Pants on Fire,health,politician_9,Blogger,California,independent
WHO Approves New Malaria Vaccine for Distribution in Africa - verified claim 263,Half True,politics,politician_19,Senator,California,republican
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 264,Barely True,worldnews,politician_3,Blogger,Texas,independent
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 265,Half True,health,politician_20,Senator,Texas,democrat
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 266,Pants on Fire,worldnews,politician_19,Blogger,Texas,independent
Global Summit Agrees on New Carbon Emission Reduction Targets - verified claim 267,Half True,politics,politician_6,Senator,Florida,democrat
Senate Passes Landmark Infrastructure Bill with Bipartisan Support - verified claim 268,Half True,politics,politician_18,Senator,Texas,democrat
Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - verified claim 269,Half True,health,politician_8,Senator,Texas,democrat
WHO Approves New Malaria Vaccine for Distribution in Africa - verified claim 270,Half True,health,politician_3,Senator,Texas,democrat
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 271,Pants on Fire,finance,politician_9,Blogger,Florida,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 272,Half True,worldnews,politician_10,Senator,New York,republican
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 273,Mostly True,health,politician_5,Senator,Texas,republican
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 274,Pants on Fire,health,politician_15,Blogger,Florida,independent
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - unverified claim 275,Barely True,health,politician_11,Blogger,Texas,independent
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 276,Barely True,sports,politician_7,Blogger,Florida,independent
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 277,Half True,health,politician_17,Senator,Florida,democrat
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 278,Mostly True,finance,politician_12,Senator,Texas,democrat
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - unverified claim 279,Pants on Fire,sports,politician_17,Blogger,New York,independent
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 280,Barely True,technology,politician_1,Blogger,Florida,independent
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 281,Barely True,technology,politician_15,Blogger,Texas,independent
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - unverified claim 282,Pants on Fire,finance,politician_12,Blogger,Texas,independent
Senate Passes Landmark Infrastructure Bill with Bipartisan Support - verified claim 283,True,politics,politician_9,Senator,California,democrat
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing - verified claim 284,True,sports,politician_5,Senator,California,democrat
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 285,Barely True,worldnews,politician_2,Blogger,Texas,independent
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - unverified claim 286,Pants on Fire,sports,politician_4,Blogger,Texas,independent
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 287,Pants on Fire,worldnews,politician_12,Blogger,Florida,independent
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - unverified claim 288,Barely True,sports,politician_15,Blogger,Texas,independent
Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - verified claim 289,Mostly True,worldnews,politician_10,Senator,California,republican
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 290,Half True,health,politician_1,Senator,California,democrat
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing - verified claim 291,Half True,politics,politician_11,Senator,New York,democrat
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 292,Pants on Fire,worldnews,politician_14,Blogger,California,independent
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - unverified claim 293,Pants on Fire,worldnews,politician_3,Blogger,Florida,independent
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 294,False,health,politician_17,Blogger,Florida,independent
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 295,Pants on Fire,worldnews,politician_3,Blogger,Texas,independent
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - unverified claim 296,False,technology,politician_19,Blogger,Texas,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 297,Half True,finance,politician_6,Senator,Florida,democrat
PROOF: Government Uses Weather Satellites to Control Local Election Results - unverified claim 298,Pants on Fire,sports,politician_5,Blogger,Florida,independent
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 299,Mostly True,sports,politician_16,Senator,Florida,republican
